Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Link Clicks,Matched Audience Targeting Consumption (Video Click),Negative feedback from users: Hide all,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions
1.22158E+17,6.1571E+13,Ulg.official ,"#เหตุผลที่ต้องมาที่ร้าน topologie 🛍️🤩 เพราะที่นี่คือความเป็นไปได้มากมายที่คุณจะได้ลงมือแมทช์กระเป๋าใบโปรดกับสาย และ Accessories ครีเอทสไตล์ของตัวเองได้เต็มที่ 

พบคอลเลคชันกระเป๋าเข้าใหม่ รวมถึงกระเป๋าและสาย Restock ที่หลายคนถามหา ได้แล้วที่ topologie !!

📍 วางจำหน่ายที่
• Topologie Store 4 สาขา 
   - Dusit Central Park ชั้น 3
   - Central Plaza Ladprao ชั้น 2
   - centralwOrld ชั้น 3 โซน Atrium
   - MEGABangna ชั้น 1 โซน Mega Fashion
• SOUP 
   - Emsphere ชั้น M, 
   - Junceylon 
   - Siam Paragon Department Store ชั้น 2 โซน Men's Shoes & Bags
• Pronto** สาขา Central Rama 9 ชั้น G, Central Festival Chiang Mai ชั้น 1 และ &Co. Think Park Chiang Mai
• Thepopupstore Central Phuket Festival ชั้น 2

#ulgofficial #topologie #topologiethailand","#เหตุผลที่ต้องมาที่ร้าน topologie 🛍️🤩 เพราะที่นี่คือความเป็นไปได้มากมายที่คุณจะได้ลงมือแมทช์กระเป๋าใบโปรดกับสาย และ Accessories ครีเอทสไตล์ของตัวเองได้เต็มที่ 

พบคอลเลคชันกระเป๋าเข้าใหม่ รวมถึงกระเป๋าและสาย Restock ที่หลายคนถามหา ได้แล้วที่ topologie !!

📍 วางจำหน่ายที่
• Topologie Store 4 สาขา 
   - Dusit Central Park ชั้น 3
   - Central Plaza Ladprao ชั้น 2
   - centralwOrld ชั้น 3 โซน Atrium
   - MEGABangna ชั้น 1 โซน Mega Fashion
• SOUP 
   - Emsphere ชั้น M, 
   - Junceylon 
   - Siam Paragon Department Store ชั้น 2 โซน Men's Shoes & Bags
• Pronto** สาขา Central Rama 9 ชั้น G, Central Festival Chiang Mai ชั้น 1 และ &Co. Think Park Chiang Mai
• Thepopupstore Central Phuket Festival ชั้น 2

#ulgofficial #topologie #topologiethailand",27,11/10/2025 21:00,N/A,https://www.facebook.com/reel/878597498158685/,1,0,Videos,,,,,Lifetime,111732,102729,316,301,5,10,57,,57,,,,1114037.235,9.893,0,0,0
1.22158E+17,6.1571E+13,Ulg.official ,"[NEW-IN] คอลเลคชันใหม่จาก Nudie Jeans พร้อมแล้วที่ Pronto** !!

#ulgofficial #prontoandco #prontodenim #nudiejeans",,0,11/11/2025 20:31,N/A,https://www.facebook.com/Ulg.0fficial/posts/pfbid02EsU8GawQ47bHhLCAcoJdKcjzhAsaYaWfrsrHU6vQWjCxDmYCqMs1LVoxF3zPjXwwl,0,1,Photos,,,,,Lifetime,956,397,0,0,0,0,0,,,,,,,,,,
1.22158E+17,6.1571E+13,Ulg.official ,"✨🧗‍♀️ TOPOLOGIE RESTOCK! เติมสต๊อกตามเสียงเรียกร้องจากแฟนๆ topologie แบรนด์กระเป๋าสัญชาติฝรั่งเศส 🇫🇷 ที่ผสมผสานความหลงใหลในการปีนเขา เข้ากับดีไซน์ที่ล้ำสมัย พร้อมฟังก์ชันที่ตอบโจทย์ชีวิตประจำวัน 

มาครบรุ่นและสีที่ติด Top list ไอเทมที่ลูกค้าถามถึงมากที่สุด ทั้ง BOTTLE SACOCHE, FLAT SACOCHE, BESACE, KONBINI, PHONE SACOCHE นอกจากนี้ ยังมีสายกระเป๋าหลากดีไซน์ และ Accessories ที่น่าสนใจ ให้คุณเลือกแมทช์และสร้างสไตล์ในแบบฉบับของคุณเอง!

📍 วางจำหน่ายที่
• Topologie Store 4 สาขา 
   - Dusit Central Park ชั้น 3
   - Central Plaza Ladprao ชั้น 2
   - centralwOrld ชั้น 3 โซน Atrium
   - MEGABangna ชั้น 1 โซน Mega Fashion
• SOUP 3 สาขา 
   - Emsphere ชั้น M  
   - Siam Paragon Department Store ชั้น 2 โซน Men's Shoes & Bags
   - Junceylon
• Pronto** 3 สาขา 
   - Central Rama 9 ชั้น G
   - Central Festival Chiang Mai ชั้น 1
   - &Co. Think Park Chiang Mai
• Thepopupstore Central Phuket Festival ชั้น 2

ช้อปออนไลน์ได้ที่
Line OA: @topologie.th (มี@)

#topologiethailand #topologie #ulgofficial",,0,11/11/2025 21:00,N/A,https://www.facebook.com/Ulg.0fficial/posts/pfbid09vnvSa24gKKakRFf8fMY5qpKWH4qJ2cQ42JnfatyYqKijbuSL8fLf1hgYkxiAMqxl,0,0,Photos,,,,,Lifetime,83775,36415,304,277,1,26,10955,8019,2851,85,,,,,,,
1.22158E+17,6.1571E+13,Ulg.official ,"ถึงไทยแล้ว!! 𝗧𝗢𝗣𝗢𝗟𝗢𝗚𝗜𝗘 𝗫 𝗖𝗟𝗔𝗥𝗞𝗦 👟🧗 
เมื่อแรงบันดาลใจจากการปีนเขาของ Topologie พบกับ Clarks แบรนด์รองเท้าระดับตำนานจากประเทศอังกฤษ เกิดเป็น Torhill Hi ที่ผสมผสานฝีมือการทำรองเท้าชั้นเยี่ยมเข้ากับสไตล์นักปีนเขา เชื่อมโยงความเท่แบบ Outdoor เข้ากับชีวิตในเมืองได้อย่างลงตัว มาพร้อมเชือกรองเท้าให้เปลี่ยนตามใจชอบ ออกแบบมาให้เคลื่อนไหวได้คล่องตัว ไม่ว่าจะไปปีนเขาหรือเดินเที่ยวในเมือง

No Climb is beyond us 

📍 วางจำหน่ายที่
• Topologie Store สาขา Dusit Central Park ชั้น 3

ช้อปออนไลน์ได้ที่
Line OA: @topologie.th (มี@)

#topologiethailand #topologie #ulgofficial",,0,11/16/2025 21:00,N/A,https://www.facebook.com/Ulg.0fficial/posts/pfbid0cqBmxHfwDq8Sfc3Mhnf6yX4HAxsE8ZbYxT9eRM8sJdipJ99wPTQ5ZqACM4AjAryXl,0,0,Photos,,,,,Lifetime,1017,412,7,6,0,1,20,15,2,3,,,,,,,
1.22158E+17,6.1571E+13,Ulg.official ,"[ HIGHLIGHT ] Gift set ideas จาก HOOGA Thailand ถึงเวลามอบ “ความรู้สึกดีๆ” ให้คนพิเศษ หรือให้ตัวเองแล้ว!

พบกันที่ HOOGA centralwOrld ชั้น 5 โซน Central Court

#ulgofficial #hoogathailand #giftideas",,0,11/20/2025 16:55,N/A,https://www.facebook.com/Ulg.0fficial/posts/pfbid02XMpa47WhwxvSwd9EP92jAosvFxvtoy497fZ6xL9Tp6VmyaxQ1dQ4jULBQhfvdozjl,0,1,Photos,,,,,Lifetime,671,285,0,0,0,0,0,,,,,,,,,,
1.22158E+17,6.1571E+13,Ulg.official ,"🥳 #เพราะชีวิตต้องมีเส้นสาย 𝗧𝗼𝗽𝗼𝗹𝗼𝗴𝗶𝗲 คอลเลคชันใหม่ มาแล้ว‼️

พบกับคอลเลคชันที่เข้ามาใหม่ล่าสุดจาก 𝗧𝗼𝗽𝗼𝗹𝗼𝗴𝗶𝗲
🌈 New Straps เปลี่ยนลุคได้ไม่มีเบื่อ กับสายกระเป๋าหลากสีหลายดีไซน์ 
🔑 New Accessories อัปเวลความสนุก เอาใจสาย CHARM ด้วย Keychain และ Loop Key Holder

พร้อมให้คุณครีเอทความเป็นตัวเองได้แบบไร้ขีดจำกัด ได้แล้ววันนี้!! ✨

📍 พบกันที่
• Topologie Store 4 สาขา 
   - Dusit Central Park ชั้น 3
   - Central Plaza Ladprao ชั้น 2
   - centralwOrld ชั้น 3 โซน Atrium
   - MEGABangna ชั้น 1 โซน Mega Fashion
• SOUP 
   - Emsphere ชั้น M
   - Siam Paragon Department Store ชั้น 2 โซน Men's Shoes & Bags
   - Junceylon 
• Pronto** 
   - Central Rama 9 ชั้น G
   - Central Festival Chiang Mai ชั้น 1
   - &Co. Think Park Chiang Mai
• Thepopupstore Central Phuket Festival ชั้น 2

📲 ช้อปออนไลน์ได้ที่
Line OA: @topologie.th (มี@)

#topologiethailand #topologie #ulgofficial",,0,11/20/2025 18:06,N/A,https://www.facebook.com/Ulg.0fficial/posts/pfbid0BLUvDQCawL6HXfg1sV5ZQuCoGVVnP81SpXYFTGbuRQwcTMvfiogrNAXmXQta4RkYl,0,0,Photos,,,,,Lifetime,43725,39878,14,11,2,1,174,100,56,18,,,,,,,
1.22159E+17,6.1571E+13,Ulg.official ,"สัปดาห์นี้พิเศษมาก!! พบคอลเลคชันกระเป๋า สาย และ accessory จาก topologie ได้ที่
📍 Topologie Store 4 สาขา
- Dusit Central Park ชั้น 3
- Central Plaza Ladprao ชั้น 2
- centralwOrld ชั้น 3 โซน Atrium
- MEGABangna ชั้น 1 โซน Mega Fashion
📍SOUP 5 สาขา
- Emsphere ชั้น M
- Terminal 21 Asok
- Terminal 21 Pattaya
- Siam Paragon Department Store ชั้น 2 โซน Men's Shoes & Bags
- Jungceylon
📍Pronto&Co. 3 สาขา
- Central Rama 9 ชั้น G
- Central Festival Chiang Mai ชั้น 1
- &Co. Think Park Chiang Mai
📍 Thepopupstore Central Phuket Festival ชั้น 2

ช้อปออนไลน์ได้ที่
Line OA: @topologie.th (มี@)

#topologiethailand #topologie #ulgofficial","สัปดาห์นี้พิเศษมาก!! พบคอลเลคชันกระเป๋า สาย และ accessory จาก topologie ได้ที่
📍 Topologie Store 4 สาขา
- Dusit Central Park ชั้น 3
- Central Plaza Ladprao ชั้น 2
- centralwOrld ชั้น 3 โซน Atrium
- MEGABangna ชั้น 1 โซน Mega Fashion
📍SOUP 5 สาขา
- Emsphere ชั้น M
- Terminal 21 Asok
- Terminal 21 Pattaya
- Siam Paragon Department Store ชั้น 2 โซน Men's Shoes & Bags
- Jungceylon
📍Pronto&Co. 3 สาขา
- Central Rama 9 ชั้น G
- Central Festival Chiang Mai ชั้น 1
- &Co. Think Park Chiang Mai
📍 Thepopupstore Central Phuket Festival ชั้น 2

ช้อปออนไลน์ได้ที่
Line OA: @topologie.th (มี@)

#topologiethailand #topologie #ulgofficial",11,11/24/2025 01:51,N/A,https://www.facebook.com/reel/1380575483696581/,0,0,Videos,,,,,Lifetime,64486,61136,66,61,1,4,148,,20,128,,,178753.811,2.977,0,0,0
1.22159E+17,6.1571E+13,Ulg.official ,"ทีมผู้บริหารและพนักงานและร้านค้าในเครือบริษัท ยูไนเต็ด ลาสติ้ง รีเทล จำกัด
ขอส่งกำลังใจและความห่วงใย
ถึงพี่น้องชาวหาดใหญ่และพื้นที่ใกล้เคียงที่ได้รับผลกระทบจากสถานการณ์น้ำท่วมในขณะนี้
เราขอให้ทุกท่านปลอดภัยและขอเป็นอีกหนึ่งแรงใจให้ทุกคนผ่านช่วงเวลาอันยากลำบากนี้ไปได้อย่างดีที่สุด 
และขอบคุณทุกภาคส่วนที่ลงพื้นที่และทำงานอย่างเต็มกำลัง 🤍🙏",,0,11/25/2025 02:07,N/A,https://www.facebook.com/Ulg.0fficial/posts/pfbid02h67K1JECqCnSEythumFyty78y5tJru7SA8jWMcBfDDxerm2FMexwuDvPupzHiV7Sl,0,0,Photos,,,,,Lifetime,664,277,6,4,0,2,3,,3,,,1,,,,,
1.22159E+17,6.1571E+13,Ulg.official ,"𝘁𝗼𝗽𝗼𝗹𝗼𝗴𝗶𝗲 𝗕𝗹𝗮𝗰𝗸 𝗙𝗿𝗶𝗱𝗮𝘆 𝗦𝗽𝗲𝗰𝗶𝗮𝗹 𝗦𝗮𝗹𝗲‼️
ดีลพิเศษที่บอกเลยว่า ต้องรีบ !! 🥳✨

1️⃣ 𝘁𝗼𝗽𝗼𝗹𝗼𝗴𝗶𝗲 𝗪𝗮𝗿𝗲𝘀 𝗦𝘁𝗿𝗮𝗽 ยิ่งช้อปคู่ ยิ่งคุ้ม!
ชิ้นที่ 1: รับส่วนลดทันที 10%
ชิ้นที่ 2: รับส่วนลดเพิ่ม 20%
( คำนวณส่วนลดชิ้นที่ 2 จากชิ้นที่มีราคาถูกที่สุดในบิล )

2️⃣ 𝘁𝗼𝗽𝗼𝗹𝗼𝗴𝗶𝗲 𝗪𝗮𝗿𝗲𝘀 𝗕𝗮𝗴𝘀
กระเป๋าลดสูงสุดถึง 15%

3️⃣ 𝘁𝗼𝗽𝗼𝗹𝗼𝗴𝗶𝗲 𝗣𝗵𝗼𝗻𝗲 𝗖𝗮𝘀𝗲
Phone Case ลดสูงสุด 30%

📅 ตั้งแต่ 28 พ.ย. – 2 ธ.ค. 2568 ( 5 วันเท่านั้น !! )

#สาขาที่เข้าร่วม
📍 Topologie Store 4 สาขา
- Dusit Central Park ชั้น 3
- Central Plaza Ladprao ชั้น 2
- centralwOrld ชั้น 3 โซน Atrium
- MEGABangna ชั้น 1 โซน Mega Fashion
📍SOUP 5 สาขา
- Emsphere ชั้น M
- Terminal 21 Asok
- Terminal 21 Pattaya
- Siam Paragon Department Store ชั้น 2 โซน Men's Shoes & Bags
- Jungceylon
📍Pronto&Co. 3 สาขา
- Central Rama 9 ชั้น G
- Central Festival Chiang Mai ชั้น 1
- &Co. Think Park Chiang Mai
📍 Thepopupstore Central Phuket Festival ชั้น 2

***หมายเหตุ
ดีลพิเศษนี้ เฉพาะ Selected items เท่านั้น สอบถามเพิ่มเติมได้ที่พนักงานประจำสาขา

#topologiethailand #topologie #ulgofficial",,0,11/27/2025 05:11,N/A,https://www.facebook.com/Ulg.0fficial/posts/pfbid0BiejVJmjZ8a8YJDvsTimNaezmJmdDvSQxD8SaovLSngyMrovxmqS8QmZyuMSDJXTl,0,0,Photos,,,,,Lifetime,1076,357,11,6,0,5,136,41,93,2,,,,,,,
1.22159E+17,6.1571E+13,Ulg.official ,"Topologie Black Friday Special Sale ‼️ 28 พ.ย. - 2 ธ.ค. นี้เท่านั้น!! 🥳✨

 #ulgofficial #topologiethailand","Topologie Black Friday Special Sale ‼️ 28 พ.ย. - 2 ธ.ค. นี้เท่านั้น!! 🥳✨

 #ulgofficial #topologiethailand",22,11/28/2025 06:06,N/A,https://www.facebook.com/reel/1939632773595652/,0,0,Reels,,,,,Lifetime,932,459,13,10,3,0,19,,19,,,,5066.68,7.343,0,,0
